# number of parallel VMs, cxenstored, oxenstored, irmin
# djs55/ocaml-xensotre-xen#cecfa2e04c68a76c49fd2bcc1d918b770f4b021a
10,  2.86,  0.64,  0.81
20, 10.21,  2.32,  1.95 
30, 22.51,  4.95,  3.52
40, 39.89,  8.61,  5.53
50, 63.45,  13.35, 7.94
60, 93.86,  19.32, 10.83
70, 129.96, 26.07, 14.06
80, 171.34, 34.32, 17.95
90, 221.03, 43.23, 22.10
100, 280.03, 53.63, 26.80
110, 343.17, 65.11, 31.93
120, 419.41, 78.55, 37.50
130, 499.81, 92.24, 43.85
140, 595.21, 107.61, 50.40
150, 692.15, 123.34, 57.56
160, 805.86, 141.28, 64.92
170, 922.73, 160.23, 74.72
180, 1051.63, 179.65, 82.93
190, 1194.76, 201.84, 92.48
200, 1343.27, 225.35, 103.19
